"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00362013","DANVILLE, PA US","1961-10-29",,,
"USC00362013","DANVILLE, PA US","1961-10-30",,,
"USC00362013","DANVILLE, PA US","1961-10-31",,,
"USC00362013","DANVILLE, PA US","1961-11-01",,,
"USC00362013","DANVILLE, PA US","1961-11-02",,,
"USC00362013","DANVILLE, PA US","1961-11-03",,,
"USC00362013","DANVILLE, PA US","1961-11-04",,,
"USC00362013","DANVILLE, PA US","1961-11-05",,,
"USC00362013","DANVILLE, PA US","1961-11-06",,,
"USC00362013","DANVILLE, PA US","1961-11-07",,,
"USC00362013","DANVILLE, PA US","1961-11-08",,,
"USC00362013","DANVILLE, PA US","1961-11-09",,,
"USC00362013","DANVILLE, PA US","1961-11-10",,,
"USC00362013","DANVILLE, PA US","1961-11-11",,,
"USC00362013","DANVILLE, PA US","1961-11-12",,,
"USC00362013","DANVILLE, PA US","1961-11-13",,,
"USC00362013","DANVILLE, PA US","1961-11-14",,,
"USC00362013","DANVILLE, PA US","1961-11-15",,,
"USC00362013","DANVILLE, PA US","1961-11-16",,,
"USC00362013","DANVILLE, PA US","1961-11-17",,,
"USC00362013","DANVILLE, PA US","1961-11-18",,,
"USC00362013","DANVILLE, PA US","1961-11-19",,,
"USC00362013","DANVILLE, PA US","1961-11-20",,,
"USC00362013","DANVILLE, PA US","1961-11-21",,,
"USC00362013","DANVILLE, PA US","1961-11-22",,,
"USC00362013","DANVILLE, PA US","1961-11-23",,,
"USC00362013","DANVILLE, PA US","1961-11-24",,,
"USC00362013","DANVILLE, PA US","1961-11-25",,,
"USC00362013","DANVILLE, PA US","1961-11-26",,,
"USC00362013","DANVILLE, PA US","1961-11-27",,,
"USC00362013","DANVILLE, PA US","1961-11-28",,,
"USC00362013","DANVILLE, PA US","1961-11-29",,,
"USC00362013","DANVILLE, PA US","1961-11-30",,,
"USC00362013","DANVILLE, PA US","1961-12-01",,,
"USC00362013","DANVILLE, PA US","1961-12-02",,,
"USC00362013","DANVILLE, PA US","1961-12-03",,,
"USC00362013","DANVILLE, PA US","1961-12-04",,,
"USC00362013","DANVILLE, PA US","1961-12-05",,,
"USC00362013","DANVILLE, PA US","1961-12-06",,,
"USC00362013","DANVILLE, PA US","1961-12-07",,,
"USC00362013","DANVILLE, PA US","1961-12-08",,,
"USC00362013","DANVILLE, PA US","1961-12-09",,,
"USC00362013","DANVILLE, PA US","1961-12-10",,,
"USC00362013","DANVILLE, PA US","1961-12-11",,,
"USC00362013","DANVILLE, PA US","1961-12-12",,,
"USC00362013","DANVILLE, PA US","1961-12-13",,,
"USC00362013","DANVILLE, PA US","1961-12-14",,,
"USC00362013","DANVILLE, PA US","1961-12-15",,,
"USC00362013","DANVILLE, PA US","1961-12-16",,,
"USC00362013","DANVILLE, PA US","1961-12-17",,,
"USC00362013","DANVILLE, PA US","1961-12-18",,,
"USC00362013","DANVILLE, PA US","1961-12-19",,,
"USC00362013","DANVILLE, PA US","1961-12-20",,,
