,STATION,NAME,DATE,TMAX,TMIN,TOBS
10572,USC00365817,"MILLVILLE 2 SW, PA US",1969-09-25,75.0,51.0,57.0
10573,USC00365817,"MILLVILLE 2 SW, PA US",1969-09-26,68.0,44.0,46.0
10574,USC00365817,"MILLVILLE 2 SW, PA US",1969-09-27,70.0,43.0,45.0
10575,USC00365817,"MILLVILLE 2 SW, PA US",1969-09-28,71.0,44.0,49.0
10576,USC00365817,"MILLVILLE 2 SW, PA US",1969-09-29,65.0,40.0,40.0
10577,USC00365817,"MILLVILLE 2 SW, PA US",1969-09-30,64.0,36.0,38.0
10578,USC00365817,"MILLVILLE 2 SW, PA US",1969-10-01,68.0,37.0,44.0
10579,USC00365817,"MILLVILLE 2 SW, PA US",1969-10-02,77.0,45.0,56.0
10580,USC00365817,"MILLVILLE 2 SW, PA US",1969-10-03,65.0,55.0,55.0
10934,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-22,82.0,56.0,62.0
10935,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-23,88.0,60.0,64.0
10936,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-24,88.0,63.0,64.0
10937,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-25,90.0,63.0,66.0
10938,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-26,88.0,60.0,62.0
10939,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-27,85.0,60.0,64.0
10940,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-28,64.0,39.0,41.0
10941,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-29,60.0,30.0,38.0
10942,USC00365817,"MILLVILLE 2 SW, PA US",1970-09-30,52.0,37.0,44.0
10943,USC00365817,"MILLVILLE 2 SW, PA US",1970-10-01,55.0,41.0,43.0
10944,USC00365817,"MILLVILLE 2 SW, PA US",1970-10-02,62.0,36.0,40.0
10945,USC00365817,"MILLVILLE 2 SW, PA US",1970-10-03,68.0,38.0,57.0
11299,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-22,65.0,40.0,40.0
11300,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-23,69.0,40.0,55.0
11301,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-24,62.0,48.0,49.0
11302,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-25,66.0,35.0,37.0
11303,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-26,66.0,35.0,51.0
11304,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-27,54.0,50.0,54.0
11305,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-28,61.0,53.0,59.0
11306,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-29,64.0,58.0,63.0
11307,USC00365817,"MILLVILLE 2 SW, PA US",1971-09-30,76.0,58.0,59.0
11308,USC00365817,"MILLVILLE 2 SW, PA US",1971-10-01,74.0,48.0,51.0
11309,USC00365817,"MILLVILLE 2 SW, PA US",1971-10-02,74.0,48.0,63.0
11310,USC00365817,"MILLVILLE 2 SW, PA US",1971-10-03,70.0,61.0,62.0
11665,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-22,60.0,51.0,58.0
11666,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-23,69.0,35.0,36.0
11667,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-24,67.0,36.0,52.0
11668,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-25,59.0,51.0,59.0
11669,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-26,79.0,58.0,63.0
11670,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-27,81.0,62.0,65.0
11671,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-28,74.0,47.0,50.0
11672,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-29,70.0,49.0,57.0
11673,USC00365817,"MILLVILLE 2 SW, PA US",1972-09-30,66.0,56.0,66.0
12030,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-22,66.0,34.0,48.0
12031,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-23,66.0,46.0,62.0
12032,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-24,80.0,51.0,53.0
12033,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-25,73.0,51.0,57.0
12034,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-26,60.0,54.0,55.0
12035,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-27,69.0,51.0,57.0
12036,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-28,79.0,56.0,62.0
12037,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-29,75.0,57.0,58.0
12038,USC00365817,"MILLVILLE 2 SW, PA US",1973-09-30,65.0,43.0,45.0
12039,USC00365817,"MILLVILLE 2 SW, PA US",1973-10-01,69.0,38.0,41.0
12040,USC00365817,"MILLVILLE 2 SW, PA US",1973-10-02,72.0,38.0,57.0
12041,USC00365817,"MILLVILLE 2 SW, PA US",1973-10-03,65.0,56.0,62.0
12395,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-22,64.0,40.0,41.0
12396,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-23,60.0,37.0,38.0
12397,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-24,52.0,28.0,29.0
12398,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-25,58.0,29.0,36.0
12399,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-26,61.0,36.0,43.0
12400,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-27,70.0,41.0,42.0
12401,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-28,78.0,42.0,60.0
12402,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-29,66.0,60.0,66.0
12403,USC00365817,"MILLVILLE 2 SW, PA US",1974-09-30,71.0,47.0,47.0
12404,USC00365817,"MILLVILLE 2 SW, PA US",1974-10-01,59.0,38.0,41.0
12405,USC00365817,"MILLVILLE 2 SW, PA US",1974-10-02,56.0,37.0,41.0
12406,USC00365817,"MILLVILLE 2 SW, PA US",1974-10-03,50.0,29.0,32.0
12760,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-22,71.0,43.0,44.0
12761,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-23,65.0,42.0,54.0
12762,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-24,62.0,52.0,52.0
12763,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-25,57.0,52.0,52.0
12764,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-26,63.0,51.0,60.0
12765,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-27,67.0,53.0,55.0
12766,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-28,58.0,47.0,48.0
12767,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-29,70.0,40.0,41.0
12768,USC00365817,"MILLVILLE 2 SW, PA US",1975-09-30,71.0,40.0,47.0
12769,USC00365817,"MILLVILLE 2 SW, PA US",1975-10-01,72.0,44.0,55.0
12770,USC00365817,"MILLVILLE 2 SW, PA US",1975-10-02,74.0,48.0,50.0
12771,USC00365817,"MILLVILLE 2 SW, PA US",1975-10-03,53.0,34.0,35.0
13126,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-22,66.0,44.0,46.0
13127,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-23,60.0,34.0,36.0
13128,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-24,72.0,35.0,48.0
13129,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-25,65.0,34.0,36.0
13130,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-26,69.0,36.0,48.0
13131,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-27,63.0,47.0,61.0
13132,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-28,66.0,46.0,47.0
13133,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-29,60.0,35.0,36.0
13134,USC00365817,"MILLVILLE 2 SW, PA US",1976-09-30,65.0,35.0,43.0
13135,USC00365817,"MILLVILLE 2 SW, PA US",1976-10-01,53.0,42.0,52.0
13136,USC00365817,"MILLVILLE 2 SW, PA US",1976-10-02,62.0,50.0,55.0
13137,USC00365817,"MILLVILLE 2 SW, PA US",1976-10-03,62.0,53.0,54.0
13491,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-22,72.0,55.0,58.0
13492,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-23,70.0,53.0,55.0
13493,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-24,64.0,54.0,58.0
13494,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-25,64.0,50.0,53.0
13495,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-26,55.0,51.0,55.0
13496,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-27,67.0,52.0,54.0
13497,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-28,70.0,48.0,49.0
13498,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-29,69.0,44.0,46.0
13499,USC00365817,"MILLVILLE 2 SW, PA US",1977-09-30,60.0,43.0,47.0
13500,USC00365817,"MILLVILLE 2 SW, PA US",1977-10-01,70.0,45.0,51.0
13501,USC00365817,"MILLVILLE 2 SW, PA US",1977-10-02,66.0,50.0,62.0
13502,USC00365817,"MILLVILLE 2 SW, PA US",1977-10-03,62.0,44.0,46.0
13856,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-22,81.0,61.0,67.0
13857,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-23,67.0,43.0,44.0
13858,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-24,69.0,40.0,41.0
13859,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-25,66.0,40.0,52.0
13860,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-26,69.0,37.0,37.0
13861,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-27,65.0,37.0,38.0
13862,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-28,70.0,38.0,52.0
13863,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-29,62.0,34.0,35.0
13864,USC00365817,"MILLVILLE 2 SW, PA US",1978-09-30,65.0,34.0,40.0
13865,USC00365817,"MILLVILLE 2 SW, PA US",1978-10-01,69.0,38.0,58.0
13866,USC00365817,"MILLVILLE 2 SW, PA US",1978-10-02,67.0,47.0,50.0
13867,USC00365817,"MILLVILLE 2 SW, PA US",1978-10-03,58.0,35.0,36.0
14221,USC00365817,"MILLVILLE 2 SW, PA US",1979-09-22,60.0,50.0,59.0
